t 1 2 3 4 jK0100 jL0203 jL1
6.8e-07 -5457.64 6484.43 -3936.66 10000 2.76576 2.76576 259.696
6.9e-07 -5712.3 6434.76 -4120.35 10000 3.44329 3.44329 254.111
7e-07 -5960.77 6374.18 -4299.57 10000 4.12899 4.12899 248.274
7.1e-07 -6202.77 6302.57 -4474.13 10000 4.82185 4.82185 242.193
7.2e-07 -6438.07 6219.83 -4643.86 10000 5.52084 5.52084 235.872
7.3e-07 -6666.43 6125.86 -4808.57 10000 6.22493 6.22493 229.32
7.4e-07 -6887.62 6020.6 -4968.12 10000 6.93306 6.93306 222.543
7.5e-07 -7101.41 5903.98 -5122.33 10000 7.64415 7.64415 215.548
7.6e-07 -7307.58 5775.97 -5271.04 10000 8.35713 8.35713 208.344
7.7e-07 -7505.94 5636.55 -5414.12 10000 9.07089 9.07089 200.937
7.8e-07 -7696.27 5485.71 -5551.41 10000 9.78433 9.78433 193.336
7.9e-07 -7878.4 5323.46 -5682.78 10000 10.4963 10.4963 185.549
8e-07 -8052.14 5149.84 -5808.1 10000 11.2058 11.2058 177.583
8.1e-07 -8217.32 4964.91 -5927.25 10000 11.9116 11.9116 169.449
8.2e-07 -8373.78 4768.71 -6040.1 10000 12.6125 12.6125 161.153
8.3e-07 -8521.36 4561.35 -6146.55 10000 13.3075 13.3075 152.706
8.4e-07 -8659.92 4342.93 -6246.5 10000 13.9954 13.9954 144.115
8.5e-07 -8789.33 4113.57 -6339.85 10000 14.6751 14.6751 135.39
8.6e-07 -8909.47 3873.4 -6426.5 10000 15.3454 15.3454 126.541
8.7e-07 -9020.22 3622.6 -6506.39 10000 16.0053 16.0053 117.576
8.8e-07 -9121.48 3361.32 -6579.43 10000 16.6536 16.6536 108.505
8.9e-07 -9213.16 3089.78 -6645.56 10000 17.2891 17.2891 99.3379
9e-07 -9295.18 2808.18 -6704.72 10000 17.9108 17.9108 90.0837
9.1e-07 -9367.46 2516.76 -6756.86 10000 18.5176 18.5176 80.7524
9.2e-07 -9429.94 2215.75 -6801.93 10000 19.1085 19.1085 71.3537
9.3e-07 -9482.58 1905.42 -6839.89 10000 19.6822 19.6822 61.8974
9.4e-07 -9525.33 1586.06 -6870.73 10000 20.2378 20.2378 52.3935
9.5e-07 -9558.16 1257.96 -6894.41 10000 20.7743 20.7743 42.8517
9.6e-07 -9581.05 921.444 -6910.92 10000 21.2906 21.2906 33.2821
9.7e-07 -9594.01 576.833 -6920.27 10000 21.7858 21.7858 23.6946
9.8e-07 -9597.02 224.476 -6922.44 10000 22.2588 22.2588 14.0991
9.9e-07 -9590.1 -135.264 -6917.45 10000 22.7087 22.7087 4.5055
1e-06 -9573.28 -502.01 -6905.32 10000 23.1346 23.1346 -5.07619
1.01e-06 -9546.6 -875.372 -6886.07 10000 23.5356 23.5356 -14.6361
1.02e-06 -9510.08 -1254.94 -6859.73 10000 23.9108 23.9108 -24.1645
1.03e-06 -9463.8 -1640.3 -6826.35 10000 24.2593 24.2593 -33.6514
1.04e-06 -9407.82 -2031.02 -6785.97 10000 24.5804 24.5804 -43.0872
1.05e-06 -9342.21 -2426.65 -6738.64 10000 24.8733 24.8733 -52.4622
1.06e-06 -9267.06 -2826.73 -6684.43 10000 25.1372 25.1372 -61.7669
1.07e-06 -9182.46 -3230.8 -6623.41 10000 25.3713 25.3713 -70.9916
1.08e-06 -9088.53 -3638.37 -6555.66 10000 25.5752 25.5752 -80.1271
1.09e-06 -8985.37 -4048.96 -6481.25 10000 25.748 25.748 -89.1641
1.1e-06 -8873.12 -4462.06 -6400.28 10000 25.8891 25.8891 -98.0933
1.11e-06 -8751.91 -4877.15 -6312.85 10000 25.9981 25.9981 -106.906
1.12e-06 -8621.88 -5293.73 -6219.06 10000 26.0744 26.0744 -115.593
1.13e-06 -8483.19 -5711.27 -6119.02 10000 26.1174 26.1174 -124.145
1.14e-06 -8335.99 -6129.22 -6012.85 10000 26.1268 26.1268 -132.555
1.15e-06 -8180.47 -6547.05 -5900.67 10000 26.1022 26.1022 -140.813
1.16e-06 -8016.8 -6964.22 -5782.61 10000 26.0432 26.0432 -148.912
1.17e-06 -7845.18 -7380.16 -5658.82 10000 25.9494 25.9494 -156.843
1.18e-06 -7665.78 -7794.32 -5529.42 10000 25.8206 25.8206 -164.598
1.19e-06 -7478.83 -8206.13 -5394.57 10000 25.6567 25.6567 -172.171
1.2e-06 -7284.54 -8615.05 -5254.42 10000 25.4573 25.4573 -179.552
1.21e-06 -7083.12 -9020.48 -5109.13 10000 25.2224 25.2224 -186.736
1.22e-06 -6874.8 -9421.88 -4958.87 10000 24.9519 24.9519 -193.715
1.23e-06 -6659.81 -9818.66 -4803.8 10000 24.6458 24.6458 -200.482
1.24e-06 -6438.4 -10210.3 -4644.09 10000 24.304 24.304 -207.031
1.25e-06 -6210.81 -10596.1 -4479.93 10000 23.9267 23.9267 -213.356
1.26e-06 -5977.3 -10975.6 -4311.49 10000 23.5138 23.5138 -219.45
1.27e-06 -5738.12 -11348.3 -4138.97 10000 23.0657 23.0657 -225.308
1.28e-06 -5493.54 -11713.4 -3962.55 10000 22.5825 22.5825 -230.924
1.29e-06 -5243.83 -12070.6 -3782.43 10000 22.0644 22.0644 -236.292
1.3e-06 -4989.26 -12419.2 -3598.81 10000 21.5118 21.5118 -241.409
1.31e-06 -4730.12 -12758.7 -3411.89 10000 20.925 20.925 -246.268
1.32e-06 -4466.68 -13088.6 -3221.87 10000 20.3044 20.3044 -250.867
1.33e-06 -4199.24 -13408.2 -3028.96 10000 19.6505 19.6505 -255.2
1.34e-06 -3928.08 -13717.1 -2833.37 10000 18.9637 18.9637 -259.264
1.35e-06 -3653.5 -14014.8 -2635.31 10000 18.2446 18.2446 -263.054
1.36e-06 -3375.8 -14300.7 -2435 10000 17.4937 17.4937 -266.569
1.37e-06 -3095.28 -14574.3 -2232.66 10000 16.7118 16.7118 -269.804
1.38e-06 -2812.24 -14835.2 -2028.5 10000 15.8995 15.8995 -272.758
1.39e-06 -2526.98 -15082.9 -1822.74 10000 15.0576 15.0576 -275.428
1.4e-06 -2239.81 -15316.8 -1615.6 10000 14.1867 14.1867 -277.811
1.41e-06 -1951.04 -15536.6 -1407.31 10000 13.2878 13.2878 -279.907
1.42e-06 -1660.98 -15741.8 -1198.09 10000 12.3616 12.3616 -281.713
1.43e-06 -1369.94 -15932 -988.153 10000 11.4091 11.4091 -283.228
1.44e-06 -1078.22 -16106.7 -777.734 10000 10.4313 10.4313 -284.452
1.45e-06 -786.141 -16265.6 -567.053 10000 9.42912 9.42912 -285.384
1.46e-06 -494.005 -16408.3 -356.332 10000 8.40357 8.40357 -286.024
1.47e-06 -202.123 -16534.3 -145.794 10000 7.35573 7.35573 -286.373
1.48e-06 89.1978 -16643.5 64.3394 10000 6.28671 6.28671 -286.429
1.49e-06 379.652 -16735.3 273.847 10000 5.19764 5.19764 -286.195
1.5e-06 668.934 -16809.6 482.509 10000 4.08969 4.08969 -285.67
1.51e-06 956.741 -16866.1 690.109 10000 2.96408 2.96408 -284.857
1.52e-06 1242.78 -16904.4 896.428 10000 1.82203 1.82203 -283.758
1.53e-06 1526.74 -16924.3 1101.25 10000 0.664832 0.664832 -282.373
1.54e-06 1808.33 -16925.5 1304.37 10000 -0.506231 -0.506231 -280.705
1.55e-06 2087.27 -16908 1505.57 10000 -1.68983 -1.68983 -278.758
1.56e-06 2363.27 -16871.4 1704.65 10000 -2.8846 -2.8846 -276.532
1.57e-06 2636.04 -16815.6 1901.4 10000 -4.08918 -4.08918 -274.033
