t 1 2 3 4 5 6 7 8 9 10
0 9 9 11.921 11.921 2.6431e-09 11.8574 11.8574 23.8574 0.0806854 12
1 9 9 11.9829 11.9829 2.23176e-10 11.9653 11.9653 23.9653 0.0309312 12
