t 1 2 3 4 jxF0004 jxH0402
1.66 4.95241 6.50004 6.50004 4.95241 3.40478 -0.154763
1.68 4.70865 6.18011 6.18011 4.70865 3.2372 -0.147145
1.7 4.45559 5.84796 5.84796 4.45559 3.06322 -0.139237
1.72 4.19739 5.50907 5.50907 4.19739 2.8857 -0.131168
1.74 3.9382 5.16889 5.16889 3.9382 2.70751 -0.123069
1.76 3.68213 4.83279 4.83279 3.68213 2.53146 -0.115066
1.78 3.43312 4.50598 4.50598 3.43312 2.36027 -0.107285
1.8 3.19497 4.19339 4.19339 3.19497 2.19654 -0.0998427
1.82 2.97118 3.89968 3.89968 2.97118 2.04269 -0.0928495
1.84 2.765 3.62906 3.62906 2.765 1.90094 -0.0864063
1.86 2.57932 3.38535 3.38535 2.57932 1.77328 -0.0806036
1.88 2.41664 3.17183 3.17183 2.41664 1.66144 -0.0755199
1.9 2.27906 2.99127 2.99127 2.27906 1.56686 -0.0712207
1.92 2.16826 2.84584 2.84584 2.16826 1.49068 -0.0677582
1.94 2.08544 2.73715 2.73715 2.08544 1.43374 -0.0651701
1.96 2.03136 2.66616 2.66616 2.03136 1.39656 -0.0634799
1.98 2.00628 2.63324 2.63324 2.00628 1.37932 -0.0626962
2 2.01003 2.63817 2.63817 2.01003 1.3819 -0.0628135
2.02 2.04199 2.68011 2.68011 2.04199 1.40387 -0.0638121
2.04 2.10108 2.75767 2.75767 2.10108 1.44449 -0.0656587
2.06 2.18585 2.86892 2.86892 2.18585 1.50277 -0.0683077
2.08 2.29445 3.01146 3.01146 2.29445 1.57743 -0.0717015
2.1 2.42471 3.18243 3.18243 2.42471 1.66699 -0.0757721
2.12 2.57414 3.37856 3.37856 2.57414 1.76972 -0.080442
2.14 2.74003 3.59629 3.59629 2.74003 1.88377 -0.085626
2.16 2.91944 3.83177 3.83177 2.91944 2.00712 -0.0912325
2.18 3.10928 4.08093 4.08093 3.10928 2.13763 -0.0971651
2.2 3.30637 4.33961 4.33961 3.30637 2.27313 -0.103324
2.22 3.50746 4.60354 4.60354 3.50746 2.41138 -0.109608
2.24 3.70931 4.86847 4.86847 3.70931 2.55015 -0.115916
2.26 3.90874 5.13022 5.13022 3.90874 2.68726 -0.122148
2.28 4.10266 5.38475 5.38475 4.10266 2.82058 -0.128208
2.3 4.28814 5.62818 5.62818 4.28814 2.9481 -0.134004
2.32 4.46242 5.85693 5.85693 4.46242 3.06792 -0.139451
2.34 4.623 6.06769 6.06769 4.623 3.17831 -0.144469
2.36 4.76761 6.25749 6.25749 4.76761 3.27773 -0.148988
2.38 4.89431 6.42378 6.42378 4.89431 3.36484 -0.152947
2.4 5.00145 6.5644 6.5644 5.00145 3.4385 -0.156295
2.42 5.08774 6.67766 6.67766 5.08774 3.49782 -0.158992
2.44 5.15224 6.76231 6.76231 5.15224 3.54216 -0.161007
2.46 5.19436 6.8176 6.8176 5.19436 3.57112 -0.162324
2.48 5.21389 6.84323 6.84323 5.21389 3.58455 -0.162934
2.5 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
2.52 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
2.54 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
2.56 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
2.58 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
2.6 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
2.62 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
2.64 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
2.66 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
2.68 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
2.7 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
2.72 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
2.74 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
2.76 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
2.78 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
2.8 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
2.82 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
2.84 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
2.86 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
2.88 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
2.9 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
2.92 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
2.94 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
2.96 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
2.98 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
3 5.21097 6.8394 6.8394 5.21097 3.58254 -0.162843
