t 1 2 3 jxH0100
0.123 -1e-09 -2.54 -2.54 -1e-09
0.124 -1e-09 -2.52 -2.52 -1e-09
0.125 -1e-09 -2.5 -2.5 -1e-09
0.126 -1e-09 -2.48 -2.48 -1e-09
0.127 -1e-09 -2.46 -2.46 -1e-09
0.128 -1e-09 -2.44 -2.44 -1e-09
0.129 -1e-09 -2.42 -2.42 -1e-09
0.13 -1e-09 -2.4 -2.4 -1e-09
0.131 -1e-09 -2.38 -2.38 -1e-09
0.132 -1e-09 -2.36 -2.36 -1e-09
0.133 -1e-09 -2.34 -2.34 -1e-09
0.134 -1e-09 -2.32 -2.32 -1e-09
0.135 -1e-09 -2.3 -2.3 -1e-09
0.136 -1e-09 -2.28 -2.28 -1e-09
0.137 -1e-09 -2.26 -2.26 -1e-09
0.138 -1e-09 -2.24 -2.24 -1e-09
0.139 -1e-09 -2.22 -2.22 -1e-09
0.14 -1e-09 -2.2 -2.2 -1e-09
0.141 -1e-09 -2.18 -2.18 -1e-09
0.142 -1e-09 -2.16 -2.16 -1e-09
0.143 -1e-09 -2.14 -2.14 -1e-09
0.144 -1e-09 -2.12 -2.12 -1e-09
0.145 -1e-09 -2.1 -2.1 -1e-09
0.146 -1e-09 -2.08 -2.08 -1e-09
0.147 -1e-09 -2.06 -2.06 -1e-09
0.148 -1e-09 -2.04 -2.04 -1e-09
0.149 -1e-09 -2.02 -2.02 -1e-09
0.15 -1e-09 -2 -2 -1e-09
0.151 -1e-09 -1.98 -1.98 -1e-09
0.152 -1e-09 -1.96 -1.96 -1e-09
0.153 -1e-09 -1.94 -1.94 -1e-09
0.154 -1e-09 -1.92 -1.92 -1e-09
0.155 -1e-09 -1.9 -1.9 -1e-09
0.156 -1e-09 -1.88 -1.88 -1e-09
0.157 -1e-09 -1.86 -1.86 -1e-09
0.158 -1e-09 -1.84 -1.84 -1e-09
0.159 -1e-09 -1.82 -1.82 -1e-09
0.16 -1e-09 -1.8 -1.8 -1e-09
0.161 -1e-09 -1.78 -1.78 -1e-09
0.162 -1e-09 -1.76 -1.76 -1e-09
0.163 -1e-09 -1.74 -1.74 -1e-09
0.164 -1e-09 -1.72 -1.72 -1e-09
0.165 -1e-09 -1.7 -1.7 -1e-09
0.166 -1e-09 -1.68 -1.68 -1e-09
0.167 -1e-09 -1.66 -1.66 -1e-09
0.168 -1e-09 -1.64 -1.64 -1e-09
0.169 -1e-09 -1.62 -1.62 -1e-09
0.17 -1e-09 -1.6 -1.6 -1e-09
0.171 -1e-09 -1.58 -1.58 -1e-09
0.172 -1e-09 -1.56 -1.56 -1e-09
0.173 -1e-09 -1.54 -1.54 -1e-09
0.174 -1e-09 -1.52 -1.52 -1e-09
0.175 -1e-09 -1.5 -1.5 -1e-09
0.176 -1e-09 -1.48 -1.48 -1e-09
0.177 -1e-09 -1.46 -1.46 -1e-09
0.178 -1e-09 -1.44 -1.44 -1e-09
0.179 -1e-09 -1.42 -1.42 -1e-09
0.18 -1e-09 -1.4 -1.4 -1e-09
0.181 -1e-09 -1.38 -1.38 -1e-09
0.182 -1e-09 -1.36 -1.36 -1e-09
0.183 -1e-09 -1.34 -1.34 -1e-09
0.184 -1e-09 -1.32 -1.32 -1e-09
0.185 -1e-09 -1.3 -1.3 -1e-09
0.186 -1e-09 -1.28 -1.28 -1e-09
0.187 -1e-09 -1.26 -1.26 -1e-09
0.188 -1e-09 -1.24 -1.24 -1e-09
0.189 -1e-09 -1.22 -1.22 -1e-09
0.19 -1e-09 -1.2 -1.2 -1e-09
0.191 -1e-09 -1.18 -1.18 -1e-09
0.192 -1e-09 -1.16 -1.16 -1e-09
0.193 -1e-09 -1.14 -1.14 -1e-09
0.194 -1e-09 -1.12 -1.12 -1e-09
0.195 -1e-09 -1.1 -1.1 -1e-09
0.196 -1e-09 -1.08 -1.08 -1e-09
0.197 -1e-09 -1.06 -1.06 -1e-09
0.198 -1e-09 -1.04 -1.04 -1e-09
0.199 -1e-09 -1.02 -1.02 -1e-09
0.2 -1e-09 -1 -1 -1e-09
0.201 -1e-09 -0.98 -0.98 -1e-09
0.202 -1e-09 -0.96 -0.96 -1e-09
0.203 -1e-09 -0.94 -0.94 -1e-09
0.204 -1e-09 -0.92 -0.92 -1e-09
0.205 -1e-09 -0.9 -0.9 -1e-09
0.206 -1e-09 -0.88 -0.88 -1e-09
0.207 -1e-09 -0.86 -0.86 -1e-09
0.208 -1e-09 -0.84 -0.84 -1e-09
0.209 -1e-09 -0.82 -0.82 -1e-09
0.21 -1e-09 -0.8 -0.8 -1e-09
0.211 -1e-09 -0.78 -0.78 -1e-09
0.212 -1e-09 -0.76 -0.76 -1e-09
0.213 -1e-09 -0.74 -0.74 -1e-09
0.214 -1e-09 -0.72 -0.72 -1e-09
0.215 -1e-09 -0.7 -0.7 -1e-09
0.216 -1e-09 -0.68 -0.68 -1e-09
0.217 -1e-09 -0.66 -0.66 -1e-09
0.218 -1e-09 -0.64 -0.64 -1e-09
0.219 -9.99999e-10 -0.62 -0.62 -9.99999e-10
0.22 -9.99999e-10 -0.6 -0.6 -9.99999e-10
0.221 -9.99998e-10 -0.58 -0.58 -9.99998e-10
0.222 -9.99997e-10 -0.56 -0.56 -9.99997e-10
0.223 -9.99996e-10 -0.54 -0.54 -9.99996e-10
0.224 -9.99994e-10 -0.52 -0.52 -9.99994e-10
0.225 -9.9999e-10 -0.5 -0.5 -9.9999e-10
0.226 -9.99984e-10 -0.48 -0.48 -9.99984e-10
0.227 -9.99975e-10 -0.46 -0.46 -9.99975e-10
0.228 -9.9996e-10 -0.44 -0.44 -9.9996e-10
0.229 -9.99937e-10 -0.42 -0.42 -9.99937e-10
0.23 -9.999e-10 -0.4 -0.4 -9.999e-10
0.231 -9.99842e-10 -0.38 -0.38 -9.99842e-10
0.232 -9.99749e-10 -0.36 -0.36 -9.99749e-10
0.233 -9.99602e-10 -0.34 -0.34 -9.99602e-10
0.234 -9.99369e-10 -0.32 -0.32 -9.99369e-10
0.235 -9.99e-10 -0.3 -0.3 -9.99e-10
0.236 -9.98415e-10 -0.28 -0.28 -9.98415e-10
0.237 -9.97488e-10 -0.26 -0.26 -9.97488e-10
0.238 -9.96019e-10 -0.24 -0.24 -9.96019e-10
0.239 -9.9369e-10 -0.22 -0.22 -9.9369e-10
0.24 -9.9e-10 -0.2 -0.2 -9.9e-10
0.241 -9.84151e-10 -0.18 -0.18 -9.84151e-10
0.242 -9.74881e-10 -0.16 -0.16 -9.74881e-10
0.243 -9.60189e-10 -0.14 -0.14 -9.60189e-10
0.244 -9.36904e-10 -0.12 -0.12 -9.36904e-10
0.245 -9e-10 -0.1 -0.1 -9e-10
0.246 -8.41511e-10 -0.08 -0.08 -8.41511e-10
0.247 -7.48811e-10 -0.06 -0.06 -7.48811e-10
0.248 -6.01893e-10 -0.04 -0.04 -6.01893e-10
0.249 -3.69043e-10 -0.02 -0.02 -3.69043e-10
0.25 8.17124e-23 3.55271e-15 3.55271e-15 8.17124e-23
0.251 5.84893e-10 0.02 0.02 5.84893e-10
0.252 1.51189e-09 0.04 0.04 1.51189e-09
0.253 2.98107e-09 0.06 0.06 2.98107e-09
0.254 5.30957e-09 0.08 0.08 5.30957e-09
