t 1 2 3 4 5 jL0100 jL0201 jL0302 jL0403 jV0500
1.96 -0.145619 -0.651141 -0.325114 1.29786 1 0.588569 4.2391 5.75152 0.430232 3.65053
2 -0.125748 -0.630157 -0.433511 1.27332 1 0.483089 3.8473 5.88476 0.796511 3.36421
2.04 -0.107531 -0.603379 -0.536199 1.23381 1 0.392413 3.45926 5.95202 1.17896 3.06685
2.08 -0.0910102 -0.571659 -0.631523 1.17878 1 0.31524 3.08044 5.95388 1.5728 2.7652
2.12 -0.0761936 -0.535897 -0.717958 1.10787 1 0.250247 2.71563 5.89221 1.97277 2.46538
2.16 -0.0630549 -0.497016 -0.794144 1.02095 1 0.196121 2.36894 5.77005 2.37327 2.17282
2.2 -0.0515402 -0.45594 -0.858913 0.918113 1 0.151578 2.0437 5.59158 2.76841 1.89213
2.24 -0.0415712 -0.413574 -0.911324 0.799703 1 0.115385 1.74251 5.36197 3.15209 1.62712
2.28 -0.0330507 -0.37078 -0.950675 0.666298 1 0.0863794 1.46717 5.08726 3.51817 1.38079
2.32 -0.0258667 -0.328366 -0.976529 0.518724 1 0.0634781 1.2188 4.7742 3.86052 1.15532
2.36 -0.0198969 -0.287061 -0.988719 0.358051 1 0.0456897 0.997801 4.4301 4.17314 0.952111
2.4 -0.0150135 -0.24751 -0.987358 0.185582 1 0.0321199 0.803961 4.06263 4.45031 0.771841
2.44 -0.0110864 -0.21026 -0.972834 0.0028426 1 0.0219748 0.636498 3.67964 4.68665 0.614523
2.48 -0.00798708 -0.175752 -0.945808 -0.188436 1 0.014561 0.494147 3.28894 4.87729 0.479586
2.52 -0.0055919 -0.144318 -0.907195 -0.38634 1 0.00928278 0.375246 2.89816 5.0179 0.365963
2.56 -0.00378422 -0.116184 -0.858149 -0.588794 1 0.00563826 0.277823 2.51454 5.10482 0.272185
2.6 -0.00245664 -0.091465 -0.800036 -0.793594 1 0.00321243 0.199688 2.14477 5.13516 0.196476
2.64 -0.00151243 -0.0701771 -0.734408 -0.998433 1 0.00166964 0.13852 1.79482 5.10682 0.136851
2.68 -0.000866413 -0.052242 -0.662965 -1.20094 1 0.00074498 0.0919516 1.46981 5.0186 0.0912066
2.72 -0.000445424 -0.0374992 -0.58752 -1.39872 1 0.000235066 0.057646 1.17391 4.87019 0.057411
2.76 -0.000188245 -0.0257176 -0.50996 -1.58937 1 -1.12425e-05 0.0333674 0.910253 4.66223 0.0333786
2.8 -4.51436e-05 -0.0166103 -0.4322 -1.77054 1 -0.000101961 0.0170371 0.680867 4.39627 0.017139
2.84 2.2927e-05 -0.00984989 -0.356146 -1.93996 1 -0.000110597 0.00678065 0.486647 4.07484 0.00689125
2.88 4.54071e-05 -0.00508403 -0.283648 -2.09548 1 -8.40351e-05 0.00096064 0.327357 3.70132 0.00104468
2.92 4.33982e-05 -0.00195198 -0.216459 -2.23511 1 -4.95163e-05 -0.00180338 0.201663 3.27996 -0.00175386
2.96 3.10429e-05 -0.000100152 -0.156198 -2.35702 1 -2.05809e-05 -0.00262837 0.107188 2.81582 -0.00260779
3 1.69356e-05 0.000802996 -0.104313 -2.45963 1 -1.93156e-06 -0.00237432 0.0405992 2.31465 -0.00237239
3.04 5.48572e-06 0.00105336 -0.0620439 -2.54158 1 6.78364e-06 -0.00166286 -0.00228175 1.78281 -0.00166964
3.08 -1.83565e-06 0.000899327 -0.0304017 -2.60178 1 8.20243e-06 -0.000906747 -0.0263458 1.22721 -0.000914949
3.12 -5.43025e-06 0.000532037 -0.0101403 -2.63943 1 5.37816e-06 -0.000348641 -0.0370457 0.655138 -0.000354019
3.16 -6.73881e-06 7.79507e-05 -0.00174121 -2.65401 1 6.48019e-07 -0.00010728 -0.04023 0.0741658 -0.000107928
3.2 -7.67897e-06 -0.000405936 -0.00540264 -2.64534 1 -4.9562e-06 -0.000228926 -0.0419675 -0.507977 -0.00022397
3.24 -1.03808e-05 -0.000934161 -0.0210348 -2.61351 1 -1.19761e-05 -0.000741801 -0.0483654 -1.08354 -0.000729825
3.28 -1.72309e-05 -0.00159206 -0.0482621 -2.55894 1 -2.27088e-05 -0.00171112 -0.0653866 -1.64489 -0.00168841
3.32 -3.12221e-05 -0.00253224 -0.0864312 -2.48235 1 -4.15426e-05 -0.00329231 -0.0986713 -2.18461 -0.00325077
