t 1 2 3 4 5 6 7 jK0406 jL0406
5.3e-06 0.733049 10 -5.18801e-10 179.813 180 0.0629864 -17.975 0.0338941 0.183888
5.4e-06 0.732668 10 -5.28749e-10 179.816 180 0.0625575 -17.9753 -0.033179 0.187483
5.5e-06 0.733872 10 -5.38696e-10 179.806 180 0.0639163 -17.9742 0.0309071 0.191078
5.6e-06 0.733574 10 -5.48641e-10 179.808 180 0.0635782 -17.9745 -0.0303281 0.194673
5.7e-06 0.734672 10 -5.58586e-10 179.799 180 0.0648238 -17.9734 0.02819 0.198267
5.8e-06 0.734444 10 -5.6853e-10 179.801 180 0.0645643 -17.9736 -0.0277338 0.201862
5.9e-06 0.73545 10 -5.78472e-10 179.792 180 0.0657098 -17.9726 0.025717 0.205457
6e-06 0.735283 10 -5.88414e-10 179.793 180 0.0655186 -17.9728 -0.0253719 0.209051
6.1e-06 0.736207 10 -5.98355e-10 179.785 180 0.0665755 -17.9718 0.023465 0.212646
6.2e-06 0.736092 10 -6.08294e-10 179.786 180 0.0664434 -17.972 -0.0232204 0.21624
6.3e-06 0.736944 10 -6.18233e-10 179.778 180 0.0674217 -17.9711 0.0214133 0.219834
6.4e-06 0.736873 10 -6.28171e-10 179.779 180 0.0673411 -17.9711 -0.0212597 0.223429
6.5e-06 0.737661 10 -6.38108e-10 179.771 180 0.0682494 -17.9703 0.0195432 0.227023
6.6e-06 0.73763 10 -6.48043e-10 179.771 180 0.0682135 -17.9703 -0.0194721 0.230617
6.7e-06 0.73836 10 -6.57978e-10 179.764 180 0.0690593 -17.9695 0.0178379 0.234211
6.8e-06 0.738362 10 -6.67912e-10 179.764 180 0.0690623 -17.9695 -0.0178417 0.237805
6.9e-06 0.739041 10 -6.77845e-10 179.757 180 0.0698523 -17.9687 0.0162824 0.241399
7e-06 0.739072 10 -6.87776e-10 179.757 180 0.0698891 -17.9687 -0.016354 0.244992
7.1e-06 0.739705 10 -6.97707e-10 179.75 180 0.0706291 -17.9679 0.0148629 0.248586
7.2e-06 0.739762 10 -7.07637e-10 179.749 180 0.0706953 -17.9679 -0.0149962 0.252179
7.3e-06 0.740354 10 -7.17566e-10 179.743 180 0.0713905 -17.9671 0.0135672 0.255773
7.4e-06 0.740432 10 -7.27493e-10 179.742 180 0.0714822 -17.9671 -0.0137564 0.259366
7.5e-06 0.740986 10 -7.3742e-10 179.736 180 0.072137 -17.9664 0.012384 0.26296
7.6e-06 0.741083 10 -7.47346e-10 179.735 180 0.072251 -17.9662 -0.0126241 0.266553
7.7e-06 0.741605 10 -7.57271e-10 179.729 180 0.0728695 -17.9656 0.0113033 0.270146
7.8e-06 0.741717 10 -7.67195e-10 179.727 180 0.0730028 -17.9654 -0.0115897 0.273739
7.9e-06 0.742209 10 -7.77117e-10 179.722 180 0.0735884 -17.9648 0.0103159 0.277332
8e-06 0.742334 10 -7.87039e-10 179.72 180 0.0737384 -17.9646 -0.0106444 0.280925
8.1e-06 0.742799 10 -7.9696e-10 179.715 180 0.0742943 -17.964 0.00941351 0.284518
8.2e-06 0.742936 10 -8.0688e-10 179.713 180 0.0744589 -17.9638 -0.00978028 0.288111
8.3e-06 0.743376 10 -8.16799e-10 179.707 180 0.0749879 -17.9632 0.00858863 0.291704
8.4e-06 0.743523 10 -8.26717e-10 179.706 180 0.075165 -17.963 -0.00899026 0.295296
